Geometric_AR,BOR_LF_0.50,BOR_LF_0.55,BOR_LF_0.60,BOR_LF_0.65,BOR_LF_0.70,BOR_LF_0.75,BOR_LF_0.80,BOR_LF_0.85,BOR_LF_0.90,BOR_LF_0.95,Thermal_AR_LF_0.50,Thermal_AR_LF_0.55,Thermal_AR_LF_0.60,Thermal_AR_LF_0.65,Thermal_AR_LF_0.70,Thermal_AR_LF_0.75,Thermal_AR_LF_0.80,Thermal_AR_LF_0.85,Thermal_AR_LF_0.90,Thermal_AR_LF_0.95
0.9676767676767678,0.0101455988508611,0.009248570131209626,0.008500687870235075,0.007867536003658046,0.007324531535742798,0.006853646852348714,0.006441361166454043,0.0060773349827834625,0.0057535264074532995,0.0054635865176291655,0.4458582497581922,0.44715556687052727,0.44844682379808654,0.44973206290552376,0.45101132616353534,0.45228465515342897,0.4535520910716289,0.45481367473411866,0.45606944658082293,0.45731944667992824
1.006060606060606,0.010059872888769306,0.009171047788014154,0.008429989013640865,0.00780259914569406,0.007264522783712871,0.006797899209751775,0.006389332802616808,0.0060285797763521476,0.005707672672441766,0.005420321328046607,0.4554916505883592,0.4567938918872747,0.4580899191902383,0.45937977686902304,0.4606635088739495,0.46194115873887737,0.46321276958612667,0.4644783841313296,0.4657380446882131,0.4669917931733153
1.0444444444444445,0.00998156086271165,0.00910025637998849,0.008365452102330143,0.0077433429455924865,0.007209782312575268,0.00674706260053075,0.006341903018182485,0.005984147584820019,0.005665897129556661,0.005380915395960737,0.4647960029936558,0.46610207468677267,0.4674017874190159,0.46869518751807,0.4699823208626873,0.47126323288811356,0.4725379685914332,0.4738065725368393,0.4750690888608266,0.4763255612773099
1.082828282828283,0.00990990712936526,0.009035509426238746,0.008306448287891104,0.007689187318040646,0.007159771831153839,0.006700634952334545,0.006298601429562168,0.005943595982614593,0.005627782202196191,0.005344973375518216,0.47378787881822887,0.475096788183027,0.47639920209598124,0.477695168787858,0.47898473601309777,0.48026795105568093,0.4815448607349074,0.48281551141109,0.48407994899116646,0.4853382189342271
1.1212121212121213,0.009844254374858296,0.00897620979694409,0.008252430590860326,0.007639627715533322,0.007114023159291301,0.006658179600535886,0.006259018945443533,0.005906540205111912,0.005592964746819316,0.005312151465785098,0.4824827557029459,0.48379360141715505,0.48509782329383677,0.48639547141285494,0.48768659535050063,0.4889712441858059,0.49024946650676265,0.4915213104164483,0.49278682353906034,0.49404605302586047
1.1595959595959597,0.009784028077920908,0.008921835593570638,0.008202920961867888,0.007594223188797213,0.0070721271448334925,0.006619314947596183,0.006222798075766146,0.005872644030822017,0.00556112744467401,0.005282149258402479,0.4908951059080305,0.4922070694051028,0.4935122884218857,0.49481081483260425,0.4961026999808655,0.49738799468642664,0.49866674925185867,0.49993901346910885,0.5012048366259635,0.5024642675124132
1.1979797979797981,0.009728723840643813,0.008871928635312559,0.00815749973117574,0.0075525866512905415,0.00703372462669159,0.006583706031573682,0.006189625030016583,0.005841612347162529,0.005531991783125456,0.005254703090743095,0.4990384766240931,0.500350814352787,0.5016562943472944,0.5029549702210582,0.5042468950301107,0.505532121280299,0.5068107009343984,0.5080826854191152,0.5093481256319824,0.5106070719481478
1.2363636363636366,0.00967789698557882,0.008826085005274101,0.008115796945788593,0.00751437688558496,0.006998499014906403,0.006551057603397868,0.006159223229578871,0.005813185046716278,0.005505312293178531,0.0052295805887898,0.5069255627078235,0.508237599190712,0.5095426717301118,0.5108408356234333,0.5121321455841773,0.513416655749623,0.5146944196883932,0.5159654904079017,0.5172299203616827,0.5184877614566068
1.2747474747474747,0.009631153958234176,0.008783947237448301,0.008077485210193502,0.007479291937304896,0.006966170158777622,0.0065211084059789756,0.006131347946465467,0.005787131983287552,0.005480871787613091,0.00520657615766691,0.5145682726627936,0.5158793942620308,0.5171834524196508,0.5184805040619248,0.5197706055050497,0.5210538124632986,0.5223301800570419,0.5235997628206394,0.5248626147102077,0.5261187891112638
1.3131313131313131,0.009588145178444755,0.008745197820468233,0.008042273733775702,0.0074470636225858625,0.0069364892486569185,0.006493626417770705,0.006105781845939694,0.005763248778411221,0.005458477402067381,0.005185507232614591,0.5219777885858556,0.5232874378961612,0.524589930656041,0.5258853253658812,0.5271736798901947,0.5284550514662368,0.5297294967124823,0.530997071636964,0.5322578316454786,0.5335118315496586
