Liquid_Filling,Geometric_AR,Thermal_AR,BOR
0.08750000000000001,0.8855778894472361,0.9269812778105798,0.025733661053608747
0.08750000000000001,0.8905527638190955,0.9273579369104773,0.02577099627353374
0.08750000000000001,0.8955276381909548,0.9277307192323374,0.025808230572180513
0.08750000000000001,0.9005025125628141,0.9280996843703163,0.02584536452743791
0.08750000000000001,0.9054773869346734,0.9284648907028984,0.025882398713909405
0.08750000000000001,0.9104522613065327,0.9288263954237441,0.02591933370286581
0.08750000000000001,0.915427135678392,0.9291842545716028,0.025956170062219064
0.08750000000000001,0.9204020100502512,0.929538523059324,0.025992908356485822
0.08750000000000001,0.9253768844221105,0.9298892547019982,0.026029549146764586
0.08750000000000001,0.9303517587939698,0.9302365022442579,0.026066092990703282
0.08750000000000001,0.9353266331658292,0.9305803173867683,0.026102540442485722
0.08750000000000001,0.9403015075376885,0.9309207508119336,0.026138892052806506
0.08750000000000001,0.9452763819095478,0.9312578522088494,0.02617514836885948
0.08750000000000001,0.950251256281407,0.9315916702975229,0.026211309934315308
0.08750000000000001,0.9552261306532663,0.9319222528523886,0.026247377289319695
0.08750000000000001,0.9602010050251256,0.9322496467251431,0.026283350970478736
0.08750000000000001,0.9651758793969849,0.9325738978669198,0.02631923151085025
0.08750000000000001,0.9701507537688442,0.9328950513498285,0.026355019439940452
0.08750000000000001,0.9751256281407036,0.9332131513878785,0.02639071528370085
0.08750000000000001,0.9801005025125629,0.9335282413573076,0.02642631956452335
0.08750000000000001,0.9850753768844221,0.9338403638163356,0.026461832801242924
0.08750000000000001,0.9900502512562814,0.9341495605243613,0.026497255509137396
0.08750000000000001,0.9950251256281407,0.9344558724606213,0.02653258819992943
0.08750000000000001,1.0,0.9347593398423285,0.02656783138179497
0.125,0.01,0.12718321656333476,0.029813592993247484
0.125,0.014974874371859296,0.17902800691464252,0.024221595869883483
0.125,0.019949748743718593,0.22502908321725487,0.021196458891381775
0.125,0.02492462311557789,0.2661277732218874,0.019298112196507233
0.125,0.029899497487437185,0.30307131028739126,0.018000803040762126
0.125,0.03487437185929648,0.33646143354312796,0.01706394987786375
0.125,0.03984924623115578,0.36678855648073,0.01636099302614702
0.125,0.04482412060301508,0.3944565471676591,0.01581867546083693
0.125,0.049798994974874375,0.41980109633211893,0.015391520780503098
0.125,0.05477386934673367,0.443103565628169,0.015049745537550452
0.125,0.05974874371859297,0.4646015769594862,0.014773000114103763
0.125,0.06472361809045227,0.48449721004908,0.014546894498240981
0.125,0.06969849246231155,0.5029634185223263,0.014360959261156658
0.125,0.07467336683417086,0.5201491018914094,0.014207392735537505
0.125,0.07964824120603015,0.5361831516632722,0.014080261152350726
0.125,0.08462311557788944,0.5511777062383508,0.013974971041184947
0.125,0.08959798994974874,0.5652307896981015,0.013887911310965118
0.125,0.09457286432160804,0.5784284665612676,0.013816204435266988
